anio,n,tasa_default,tasa_default_pct
2007,251,0.17928286852589642,17.928286852589643
2008,1562,0.15813060179257363,15.813060179257363
2009,4716,0.12595419847328243,12.595419847328243
2010,11536,0.1289008321775312,12.890083217753121
2011,21721,0.15178859168546568,15.178859168546568
2012,53367,0.1619727546985965,16.19727546985965
2013,134804,0.15595976380522833,15.595976380522833
2014,223102,0.18449408790598024,18.449408790598024
2015,375545,0.20184798093437537,20.184798093437536
2016,293095,0.2328323581091455,23.283235810914547
2017,169300,0.23123449497932663,23.123449497932665
2018,56311,0.15746479373479427,15.746479373479428
