addr_state,n,porcentaje,categoria_rara_menor_1pct
CA,196528,14.60838022463224,False
TX,110169,8.18911626316611,False
NY,109842,8.16480959778787,False
FL,95606,7.106614832269142,False
IL,51720,3.8444670745032745,False
NJ,48449,3.6013260884108496,False
PA,45522,3.383755416967093,False
OH,43842,3.2588771361247595,False
GA,43376,3.224238279653017,False
VA,38040,2.8276010733585566,False
NC,37784,2.808572001992106,False
MI,35234,2.6190246114278493,False
AZ,32695,2.43029487627387,False
MD,31227,2.3211750451568784,False
MA,30977,2.302591967650579,False
CO,29671,2.205513970757669,False
WA,29188,2.1696114650154983,False
MN,23968,1.7815968066839614,False
IN,21716,1.614200444507214,False
MO,21260,1.5803049111357235,False
TN,20385,1.5152641398636746,False
NV,20267,1.506492927280701,False
CT,19728,1.466427812177119,False
WI,17732,1.3180605213668226,False
AL,16613,1.2348826664486252,False
OR,16406,1.219495878273409,False
SC,15992,1.188722301922977,False
LA,15499,1.152076473080554,False
KY,12839,0.9543525284135255,True
OK,12281,0.9128750994194647,True
KS,11240,0.8354951646832328,True
AR,10047,0.7468167188231709,True
UT,10036,0.7459990634128937,True
NM,7362,0.5472344664055124,True
HI,6757,0.5022634188402673,True
MS,6588,0.4897012584460087,True
NH,6449,0.4793690673525061,True
RI,5871,0.4364049921579413,True
WV,4878,0.362593008302919,True
MT,3823,0.28417242122633446,True
DE,3783,0.2811991288253265,True
NE,3586,0.2665556637503624,True
DC,3475,0.2583047773375653,True
AK,3190,0.2371200689803837,True
WY,2922,0.21719900989363047,True
SD,2767,0.20567750183972466,True
VT,2652,0.19712928618682682,True
ME,2030,0.15089458935115327,True
ID,1689,0.12554727163256052,True
ND,1602,0.11908036066036824,True
IA,7,0.0005203261701763905,True
