emp_length,n,porcentaje,categoria_rara_menor_1pct
10+ years,442199,32.86967316083282,False
2 years,121743,9.04943841939776,False
< 1 year,108061,8.032423753632992,False
3 years,107597,7.997933561781299,False
1 year,88494,6.57796344336993,False
5 years,84154,6.2553612178605675,False
4 years,80556,5.987913566389903,False
<MISSING>,78511,5.8359039923883715,False
6 years,62733,4.663088804810787,False
8 years,60701,4.512045550839583,False
7 years,59624,4.431989652942445,False
9 years,50937,3.786264875753544,False
