purpose,n,porcentaje,categoria_rara_menor_1pct
debt_consolidation,780321,58.00306249117304,False
credit_card,295279,21.948770171930633,False
home_improvement,87504,6.504374456444983,False
other,77875,5.788628643212345,False
major_purchase,29425,2.1872282224914703,False
medical,15554,1.1561647501319399,False
small_business,15416,1.1459068913484625,False
car,14585,1.0841367417175223,False
moving,9480,0.7046702990388832,True
vacation,9065,0.6738223903784258,True
house,7253,0.5391322446127659,True
wedding,2294,0.17051831919780572,True
renewable_energy,933,0.06935204525351034,True
educational,326,0.024232333068214762,True
