_category,count,mean,tasa_default_pct
MS,6588,0.2607771706132362,26.077717061323618
NE,3586,0.25181260457334076,25.181260457334076
AR,10047,0.24086792077236985,24.086792077236986
AL,16613,0.23632095347017396,23.632095347017394
OK,12281,0.23475287028743588,23.475287028743587
LA,15499,0.2318214078327634,23.18214078327634
NY,109842,0.22043480635822363,22.043480635822363
NV,20267,0.21922336803670991,21.92233680367099
FL,95606,0.21474593644750328,21.47459364475033
IN,21716,0.21408178301713024,21.408178301713026
TN,20385,0.21407897964189354,21.407897964189353
NM,7362,0.2136647650095083,21.366476500950828
SD,2767,0.21322732200939645,21.322732200939644
MD,31227,0.2130848304352003,21.30848304352003
MO,21260,0.21293508936970837,21.293508936970838
NJ,48449,0.21121178971702204,21.121178971702204
KY,12839,0.2098294259677545,20.98294259677545
PA,45522,0.20792144457624884,20.792144457624882
NC,37784,0.20783929705695534,20.783929705695535
OH,43842,0.20528260572054194,20.528260572054194
ND,1602,0.20474406991260924,20.474406991260924
MI,35234,0.20295737072146222,20.29573707214622
HI,6757,0.2020127275418085,20.20127275418085
VA,38040,0.1994216614090431,19.94216614090431
TX,110169,0.19822273053218237,19.822273053218236
DE,3783,0.19746233148295003,19.746233148295005
MN,23968,0.19742990654205608,19.74299065420561
AK,3190,0.19655172413793104,19.655172413793103
AZ,32695,0.1962991283070806,19.62991283070806
CA,196528,0.1961043718961166,19.61043718961166
MA,30977,0.1905284565968299,19.05284565968299
ID,1689,0.1882770870337478,18.82770870337478
GA,43376,0.18392659535226855,18.392659535226855
WI,17732,0.18351003834874802,18.351003834874803
IL,51720,0.18097447795823665,18.097447795823665
RI,5871,0.17867484244592063,17.867484244592063
CT,19728,0.1737631792376318,17.376317923763178
UT,10036,0.17058589079314468,17.05858907931447
MT,3823,0.1687156683233063,16.871566832330632
WY,2922,0.1676933607118412,16.76933607118412
KS,11240,0.16743772241992882,16.743772241992882
SC,15992,0.16276888444222112,16.276888444222113
WA,29188,0.15756475263807043,15.756475263807044
CO,29671,0.15526945502342354,15.526945502342354
WV,4878,0.15518655186551866,15.518655186551866
NH,6449,0.1457590324081253,14.57590324081253
OR,16406,0.14384981104473973,14.384981104473974
IA,7,0.14285714285714285,14.285714285714285
VT,2652,0.13951734539969834,13.951734539969834
ME,2030,0.13842364532019705,13.842364532019705
DC,3475,0.1320863309352518,13.20863309352518
