feature,weight,abs_weight
term= 36 months,-0.06498680552347673,0.06498680552347673
home_ownership=RENT,0.03517732338550184,0.03517732338550184
annual_inc <= 45000.00,0.030010399386920447,0.030010399386920447
fico_range_high > 714.00,-0.029822643112529496,0.029822643112529496
11.86 < dti <= 17.90,-0.02710262843607468,0.02710262843607468
loan_amnt <= 7943.75,-0.02448216146375469,0.02448216146375469
12.85 < int_rate <= 15.99,0.021628139356347,0.021628139356347
verification_status=Source Verified,0.020372691289212427,0.020372691289212427
grade=C,0.01757337866228233,0.01757337866228233
purpose=debt_consolidation,0.009838549266822835,0.009838549266822835
emp_length=5 years,0.00806794532643821,0.00806794532643821
addr_state=KS,-0.00042420550432848884,0.00042420550432848884
