model,roc_auc,accuracy,precision,recall,f1,average_precision,implementacion
hist_gradient_boosting,0.7132369394849389,0.8028038147341505,0.5742506811989101,0.0470844504021447,0.0870328308899442,0.3779205651329436,scikit-learn
gradient_boosted_tree,0.7127425193910557,0.8027146159621202,0.5473399458972047,0.06780607685433422,0.12066394990557597,,PySpark
logistic_regression,0.7098758677707984,0.8023466710274956,0.5489581412502305,0.0554252308608877,0.10068487359431809,,PySpark
logistic_regression,0.7098434329200913,0.8023503876429968,0.5492410218437616,0.0552390527256479,0.1003823121426396,0.3713440042408469,scikit-learn
random_forest,0.7079635575773974,0.8020196088633846,0.5481207907886161,0.0469727435210008,0.0865300523021521,0.3686787919565322,scikit-learn
random_forest,0.7067503620596298,0.8020939411734098,0.5567541063986271,0.042281054512958,0.07859355262930214,,PySpark
decision_tree,0.7039768234546792,0.8014881328467045,0.5220978196817914,0.0659815311289842,0.1171570247933884,0.3610990294468834,scikit-learn
gaussian_nb,0.666766878139438,0.669236086849871,0.3133319225478785,0.5513293118856122,0.3995763112088624,0.3122051426260799,scikit-learn
linear_svc,0.6301459481828081,0.8003731481963265,0.0,0.0,0.0,,PySpark
naive_bayes,0.525536601350518,0.6678274895748936,0.3131672970735847,0.5564678284182306,0.40078308850643296,,PySpark
decision_tree,0.4938986394445961,0.8013580513041604,0.5173816082906992,0.07342865653857611,0.1286052009456265,,PySpark
linear_svc,0.4758510045648267,0.8003731481963265,0.0,0.0,0.0,0.1949466620386128,scikit-learn
